City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,rock sound,24.9,-76.2,23.63,79,100,10.01,BS,1681278104
214,te anau,-45.4167,167.7167,11.48,94,100,2.92,NZ,1681278108
215,vestmannaeyjar,63.4427,-20.2734,4.1,76,82,4.54,IS,1681278112
216,baykit,61.67,96.37,-10.91,79,100,5.8,RU,1681278116
217,shelburne,44.0787,-80.2041,13.25,69,100,4.68,CA,1681278075
218,asau,46.4333,26.4,6.51,94,100,1.47,RO,1681278121
219,namibe,-15.1961,12.1522,22.91,63,0,2.79,AO,1681278125
220,san cristobal,7.7669,-72.225,22.1,89,82,0.7,VE,1681278130
221,arraial do cabo,-22.9661,-42.0278,23.91,78,15,6.85,BR,1681278132
222,nara,34.6851,135.8049,16.09,70,100,4.24,JP,1681278012
223,barentu,15.1139,37.5928,31.66,26,59,1.58,ER,1681278135
224,zistersdorf,48.5333,16.75,8.64,88,27,2.09,AT,1681278136
225,cabra,37.4725,-4.4421,10.99,68,5,0.55,ES,1681278139
226,sai buri,6.7013,101.6168,32.84,56,96,4.06,TH,1681278140
227,bandar-e lengeh,26.5579,54.8807,29.06,51,12,0.0,IR,1681278144
228,labuhan,-6.8844,112.2051,29.74,70,99,4.16,ID,1681278145
229,balsas,-7.5325,-46.0356,23.83,82,91,0.39,BR,1681278148
230,doha,25.2867,51.5333,29.99,41,0,6.17,QA,1681278050
231,buraydah,26.326,43.975,22.25,35,78,9.75,SA,1681278154
232,am timan,11.0297,20.2827,29.93,40,100,5.48,TD,1681278156
233,muros,42.7762,-9.0603,12.6,89,100,7.85,ES,1681278158
234,gladstone,-23.85,151.25,30.44,48,33,4.63,AU,1681278160
235,constitucion,-35.3333,-72.4167,13.21,92,98,2.64,CL,1681278162
236,seoul,37.5683,126.9778,15.66,14,0,6.69,KR,1681277850
237,padang,-0.9492,100.3543,29.03,69,84,2.89,ID,1681278108
238,necochea,-38.5473,-58.7368,15.18,83,76,6.9,AR,1681278166
239,kasimov,54.9411,41.3953,11.41,44,96,2.27,RU,1681278167
240,waikuku,-43.3,172.6833,16.68,84,90,5.47,NZ,1681278168
241,broken hill,-31.95,141.4333,23.93,26,0,11.06,AU,1681278169
